Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth,Year Discovered
Spectacled Bear,160,56,"Black, Tan",17.5,Omnivore,Forests,"Jaguars, Pumas",45,South America,Vulnerable,Ursidae,247,45,Solitary,1,1965
Sperm Whale,2056,57000,Gray,55,Carnivore,Oceans,Orcas,60,Worldwide,Vulnerable,Physeteridae,55,60,Solitary,1,1995
Spider Monkey,49.5,7.5,"Brown, Black",30.5,Omnivore,Rainforests,"Jaguars, Pumas",45,Central and South America,Vulnerable,Atelidae,135,45,Group-based,1,1945
Spotted Hyena,81,54,Yellowish-brown,18.5,"Carnivore, Scavenger","Grasslands, Savannahs","Lions, Leopards",60,Sub-Saharan Africa,Least Concern,Hyaenidae,100,56,Group-based,2.5,2020
Squirrel Monkey,30,0.75,"Yellowish-Orange, Black",20,Omnivore,Rainforests,"Snakes, Hawks",30,Central and South America,Least Concern,Cebidae,17.5,30,Group-based,45,1975
Star-Nosed Mole,16,0.06,"Black, Pink",4,Insectivore,"Wetlands, Forests",Not Applicable,1.2,North America,Least Concern,Talpidae,19,1.2,Solitary,6,1865
Sumatran Orangutan,83,39.5,Reddish-Brown,40,Omnivore,Rainforests,"Tigers, Humans",35,Sumatra,Critically Endangered,Hominidae,95,35,Solitary,1,1905
Sumatran Rhino,122.5,850,Reddish-Brown,37.5,Herbivore,Rainforests,"Tigers, Humans",40,Southeast Asia,Critically Endangered,Rhinocerotidae,535,40,Solitary,1,1885
Sumatran Rhinoceros,128.5,725,Brown,37.5,Herbivore,Rainforests,"Tigers, Humans",52,Southeast Asia,Critically Endangered,Rhinocerotidae,450,40,Solitary,1,1930
Sumatran Tiger,78.5,84,"Orange, Black Stripes",17.5,Carnivore,Rainforests,"Leopards, Humans",24,Sumatra,Critically Endangered,Felidae,185,24,Solitary,3,1845
Sun Bear,135,53.5,Black,27.5,Omnivore,Tropical Forests,"Tigers, Leopards",44,Southeast Asia,Vulnerable,Ursidae,120,44,Solitary,1.5,1990
Tapir,95,275,"Brown, Black",27.5,Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48,South and Central America,Vulnerable,Tapiridae,392.5,48,Solitary,1,1955
Tarsier,16,0.2,"Gray, Brown",16,Insectivore,Rainforests,"Birds, Snakes",45,"Southeast Asia, Philippines",Vulnerable,Tarsiidae,195,45,Solitary,1,1825
Tasmanian Devil,53,9,"Black, White",6.5,"Carnivore, Scavenger","Forests, Grasslands",Tasmanian Tigers,16,"Tasmania, Australia",Endangered,Dasyuridae,24.5,16,Solitary,25,1985
Tasmanian Tiger,115,25,Yellow-brown,5.5,Carnivore,Australia,"Humans, Dingoes",56,Australia,Extinct,Thylacinidae,124.5,56,Solitary,2.5,1915
Termite,0.5,0.02,Varies,0,Herbivore,"Forests, Grasslands",Not Applicable,0,Worldwide,Not Applicable,Termitoidae,0,0,Social groups,0,1895
Thorny Devil,20,85,"Brown, Tan",12.5,Insectivore,"Desert, Scrublands","Birds, Snakes",0.24,Australia,Least Concern,Agamidae,0,0,Solitary,0,1925
Three-Toed Sloth,52,8,"Brown, Gray",10,Herbivore,Rainforests,Harpy Eagles,20,Central and South America,Least Concern,Bradypodidae,35,20,Solitary,1.5,1835
Tibetan Mastiff,69.5,69,"Black, Brown, Gray",11,Omnivore,Human Dwellings,Not Applicable,45,"Asia, Tibet",Not Applicable,Canidae,70,45,Social groups,5.5,2005
Tiger,120.5,245,"Orange, Black Stripes",12.5,Carnivore,Rainforests,"Humans, Leopards",28,"Asia, Russia",Endangered,Felidae,295,28,Solitary,2.5,1875
Titanoboa,1440,24950,Dark Brown,12.5,Carnivore,Wetlands,"Fish, Crocodiles",27,South America,Extinct (around 58 million years ago),Boidae,445,27,Solitary,0,1935
Toco Toucan,60,620,"Black, Orange, Yellow",8,Omnivore,Rainforests,"Birds of Prey, Jaguars",35.5,South America,Least Concern,Ramphastidae,18.5,60,Flocks,3,1855
Tree Kangaroo,65,6,"Brown, Red",17.5,Herbivore,Rainforests,"Quolls, Pythons",30,"Papua New Guinea, Indonesia",Endangered,Macropodidae,128,30,Solitary,1,2015
Tsetse Fly,0.7,0.03,"Brown, Gray",28,Carnivore,Savannahs,Not Applicable,0,Africa,Not Applicable,Glossinidae,0,0,Solitary,0,1965
Tuatara,80,1.5,Grayish-brown,100,"Carnivore, Insectivore","Islands, Coastal Areas","Rats, Cats",0.03,New Zealand,Vulnerable,Rhynchocephalia,13.5,0,Solitary,16,1995
Tufted Puffin,38,0.7,"Black, White",20,Carnivore,Coastal Areas,"Eagles, Falcons",17,North Pacific,Least Concern,Alcidae,126,17,Social groups,1,1945
Uakari,51,2.5,"Bald, Red",12.5,Omnivore,Rainforests,"Jaguars, Snakes",20,Amazon Basin,Vulnerable,Pitheciidae,125,20,Group-based,3.5,2020
Vampire Bat,9,0.05,Brown,10,Carnivore,"Caves, Forests","Hawks, Owls",32,Americas,Least Concern,Phyllostomidae,60,32,Colony-based,1,1975
Vaquita,150,55,"Grey, White",20.5,Carnivore,Gulf of California,"Nets, Sharks",0,"Gulf of California, Mexico",Critically Endangered,Phocoenidae,10.5,0,Solitary,1,1865
Vulture,0,0,"Black, Brown",0,Carnivore,Various,Not Applicable,0,"Africa, Asia, Americas",Varies,Accipitridae,0,0,Social groups,0,1905
Walrus,3200,1200,Brown,45,Carnivore,"Arctic, Coastal Areas","Polar Bears, Orcas",40,"Arctic, Subarctic",Least Concern,Odobenidae,22.5,40,Group-based,200,1885
Warthog,117.5,105,"Brown, Black",17.5,Omnivore,"Savannahs, Grasslands","Lions, Leopards",20,Sub-Saharan Africa,Least Concern,Suidae,190,20,Group-based,18,1930
Water Buffalo,250,750,Dark Gray,22.5,Herbivore,"Grasslands, Wetlands","Tigers, Crocodiles",40,"Asia, Africa",Least Concern,Bovidae,255,40,Group-based,265,1845
Western Gorilla,170,125,Black,35,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,245,40,Social groups,1,1990
Western Lowland Gorilla,170,124.5,Black,35,Herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,245,40,Social groups,1,1955
Whale Shark,1800,1500,"Gray, White",85,Filter Feeder,Oceans,Not Applicable,70,Worldwide,Endangered,Rhincodontidae,125,70,Solitary,1,1825
White Rhinoceros,1850,2150,Gray,45,Herbivore,Grasslands,"Lions, Hyenas",45,Eastern and Southern Africa,Near Threatened,Rhinocerotidae,270,45,Group-based,7.5,1985
White Tiger,250,200,"White, Black Stripes",12.5,Carnivore,Rainforests,"Humans, Leopards",22,"India, Southeast Asia",Critically Endangered,Felidae,245,22,Solitary,1,1915
Wild Boar,82.5,75,"Brown, Black",17.5,Omnivore,"Forests, Grasslands","Tigers, Leopards",20,"Eurasia, North Africa, Americas",Least Concern,Suidae,175,20,Group-based,18,1895
Wildebeest,210,295,"Gray, Black",22.5,Herbivore,Grasslands,"Lions, Crocodiles",47,Eastern and Southern Africa,Least Concern,Bovidae,255,47,Group-based,500.5,1925
Wolf,73.5,51.5,"Gray, White",10.5,Carnivore,"Forests, Grasslands","Bears, Humans",45,"Eurasia, North America, North Africa",Least Concern,Canidae,125,45,Group-based,11,1835
Wolverine,37.5,17,Dark Brown,9.5,"Carnivore, Scavenger","Boreal Forests, Tundra","Bears, Wolves",63,"North America, Europe, Asia",Least Concern,Mustelidae,42.5,63,Solitary,2.5,2005
Wombat,101,27.5,"Brown, Gray",7.5,Herbivore,"Forests, Grasslands","Dingoes, Tasmanian Devils",20,Australia,Least Concern,Vombatidae,132,20,Solitary,1,1875
Woodpecker,12.35,0.045,Varies,0,Insectivore,Forests,"Birds, Snakes",0,Worldwide,Not Applicable,Picidae,0,0,Solitary,0,1935
Woolly Mammoth,4200,12000,"Brown, Shaggy",0,Herbivore,Tundra,Not Applicable,0,Northern Hemisphere,"Extinct (around 4,000 years ago)",Elephantidae,0,0,Social groups,0,1855
Yak,150,850,"Brown, Black",22.5,Herbivore,Mountains,"Snow Leopards, Wolves",24,"Himalayas, Central Asia",Least Concern,Bovidae,247.5,24,Group-based,30,2015
Yellow-Eyed Penguin,62.5,2,"Yellow, White",20,Carnivore,Coastal Areas,"Seals, Orcas",25,New Zealand,Endangered,Spheniscidae,85,25,Solitary,1,1965
Yeti Crab,15,0.5,"White, Hairy",20,Omnivore,Hydrothermal Vents,Not Applicable,0,Pacific Ocean,Not Evaluated,Kiwaidae,0,0,Solitary,0,1995
Zebra,280,650,"Black, White",22.5,Herbivore,Grasslands,"Lions, Hyenas",25,Africa,Least Concern,Equidae,272.5,25,Group-based,12.5,1945
Zebra Shark,330,32,"Brown, Yellowish",27.5,Carnivore,Coral Reefs,Larger Fish,20,Indo-Pacific region,Endangered,Stegostomatidae,17.5,20,Solitary,25,2020
